YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2001-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.053,1,0.053,1,0.345,1,0.51,0
2001-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.053,1,0.053,1,0.345,1,0.51,0
2001-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.053,1,0.053,1,0.345,1,0.51,0
2001-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.053,1,0.053,1,0.345,1,0.51,0
2001-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.053,1,0.053,1,0.345,1,0.51,0
2001-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.053,1,0.053,1,0.345,1,0.51,0
2001-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.053,1,0.053,1,0.345,1,0.51,0
2001-01-01,8:00,88.1,125.0,23,696,7,1,9,72,1,21,5,1,9,3,10,0,16,3,10,7,10,84,16,4,10,-9900,99,-9900,99,-9900,99,0.8,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,9:00,82.2,133.3,192,1415,112,0,9,306,0,21,70,0,9,36,10,0,16,36,10,97,10,462,16,34,10,-9900,99,-9900,99,-9900,99,0.8,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,10:00,75.3,145.5,359,1415,156,0,9,229,0,21,98,0,9,80,10,0,16,80,10,222,10,675,16,51,10,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,11:00,70.3,159.0,477,1415,108,0,9,0,0,21,108,0,9,113,10,0,16,113,10,321,10,768,16,62,10,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,12:00,67.8,173.5,535,1415,144,0,9,5,0,21,142,0,9,131,10,0,16,131,10,373,10,805,16,68,10,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,13:00,67.9,188.3,532,1415,144,0,9,8,0,21,141,0,9,129,10,0,16,129,10,369,10,803,16,68,10,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,14:00,70.8,202.8,466,1415,117,0,9,4,0,21,116,0,9,110,10,0,16,110,10,312,10,761,16,61,10,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,15:00,76.0,216.1,342,1415,202,0,9,458,0,21,91,0,9,75,10,0,16,75,10,208,10,659,16,49,10,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,16:00,83.1,228.1,170,1415,85,0,9,419,0,21,35,0,9,31,10,0,16,31,10,82,10,423,16,32,10,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,17:00,88.6,235.7,13,531,3,1,9,71,1,21,1,1,9,2,10,0,16,2,10,3,10,57,16,2,10,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
2001-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.053,1,0.062,1,0.345,1,0.51,0
